StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q3_8_TEXT,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q16,Q26,Q30,Q23,Q25,Q29,Q17,Q27,Q28,Q42,Q18,Q19,Q39,Q5_1,Q5_2,Q5_3,Q6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q36_1,Q36_2,Q36_3,Q36_4,Q38,id
2019-10-16 12:49:56,2019-10-16 12:53:43,0,217.101.63.29,100,226,1,2019-10-16 12:53:44,R_3Ravyy3io17fL6L,,,,,53.1656036376953125,5.4355926513671875,anonymous,EN,2,13,5,,5,3,4,6,5,4,4,5,4,5,4,1,1,7,2,1,5,9,3,2,7,1,2,4,5,4,3,6,6,5,4,7,5,4,3,6,6,6,6,7,7,5,6,6,2,1558441884
2019-10-16 12:55:19,2019-10-16 12:56:42,0,217.101.63.29,100,83,1,2019-10-16 12:56:44,R_OqTwzOVOrNJHlJf,,,,,53.1656036376953125,5.4355926513671875,anonymous,EN,2,13,5,,6,6,5,2,6,6,5,4,3,1,6,9,2,5,6,1,4,8,8,2,7,3,2,7,7,6,6,5,7,7,6,5,2,6,7,7,4,4,4,7,7,6,7,7,1,1558441884
2019-10-16 12:37:07,2019-10-16 12:57:20,0,77.164.121.81,100,1212,1,2019-10-16 12:57:20,R_2wtNXYWtNj8oQVT,,,,,51.881103515625,5.2942962646484375,anonymous,EN,2,26,5,,2,4,2,6,5,4,5,3,2,2,6,8,99,7,99,99,99,99,4,2,9,99,4,3,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,1,1578159544
2019-10-16 12:55:27,2019-10-16 12:57:47,0,77.162.161.242,100,139,1,2019-10-16 12:57:48,R_1DpOt5PrGlGkX6Z,,,,,52.569000244140625,6.6049957275390625,anonymous,EN,2,10,7,,5,5,5,3,5,5,6,4,4,5,6,8,3,99,99,99,99,99,99,2,7,3,2,5,4,3,3,6,3,3,5,6,3,4,2,2,2,4,4,2,4,4,3,5,1,1646331443
2019-10-16 12:58:25,2019-10-16 13:00:42,0,145.128.187.161,100,136,1,2019-10-16 13:00:42,R_1diVxGHNHmXXTsG,,,,,51.4734954833984375,3.811798095703125,anonymous,EN,2,6,6,,5,5,4,6,4,5,3,4,4,5,99,99,99,99,99,99,99,99,99,2,99,3,2,4,3,3,5,5,4,5,6,6,6,5,5,6,5,6,4,5,5,5,4,3,2,1408014228
2019-10-16 12:30:09,2019-10-16 13:01:11,0,217.62.42.51,100,1862,1,2019-10-16 13:01:12,R_1DUwFsA6kiNMDkN,,,,,51.6894073486328125,5.3036041259765625,anonymous,EN,2,14,6,,6,4,5,4,6,5,4,3,4,4,6,4,6,4,5,99,5,9,1,2,7,3,3,5,4,5,4,6,5,4,5,4,4,5,4,4,4,3,5,6,5,4,3,4,2,1615480281
2019-10-16 13:10:55,2019-10-16 13:12:56,0,86.92.39.187,100,120,1,2019-10-16 13:12:58,R_2U6limGzdHgMPE4,,,,,52.2996063232421875,5.238006591796875,anonymous,EN,1,17,5,,4,5,5,3,4,5,7,5,6,5,6,2,1,6,5,8,3,2,6,4,7,2,2,5,6,5,6,5,6,5,7,7,5,6,6,5,4,5,5,5,6,6,7,5,1,1300344446
2019-10-16 13:04:53,2019-10-16 13:13:13,0,145.130.40.164,100,499,1,2019-10-16 13:13:13,R_QnYRqTzeejX3l9D,,,,,51.571197509765625,5.0543975830078125,anonymous,EN,1,46,4,,4,6,1,6,2,4,2,4,3,3,6,5,3,7,2,7,2,9,8,2,7,3,13,6,1,6,7,8,8,6,8,8,7,7,6,7,7,4,6,7,5,5,1,2,1,1484772722
2019-10-16 13:08:08,2019-10-16 13:14:07,0,87.195.30.179,100,359,1,2019-10-16 13:14:09,R_1ooT7uRmyEkA947,,,,,51.4593963623046875,3.903594970703125,anonymous,EN,2,23,5,,4,4,3,5,6,3,3,4,3,3,6,5,1,7,99,7,99,99,99,2,7,1,4,5,5,4,5,6,6,5,6,5,5,6,6,6,5,5,5,5,5,5,3,4,2,1484740042
2019-10-16 13:02:50,2019-10-16 13:17:03,0,77.168.198.207,100,852,1,2019-10-16 13:17:03,R_OB7ZgETiNdKiqFr,,,,,52.76409912109375,6.8863067626953125,anonymous,EN,2,57,6,,6,7,3,6,6,6,2,6,3,1,4,8,2,7,2,7,4,6,1,2,7,2,12,4,2,6,6,8,8,8,8,8,6,7,6,4,1,1,7,5,6,6,1,1,1,1606883054
2019-10-16 13:14:07,2019-10-16 13:20:41,0,85.150.240.100,100,394,1,2019-10-16 13:20:41,R_1jB3MPpfllDjrU1,,,,,53.1038970947265625,7.0081024169921875,anonymous,EN,1,22,7,,5,4,3,6,4,4,3,5,4,2,6,5,1,7,2,7,2,9,8,2,7,1,13,7,3,7,7,8,6,4,8,8,5,6,6,4,4,6,5,5,7,7,1,3,1,1484769518
2019-10-16 13:19:53,2019-10-16 13:25:10,0,217.121.178.200,100,317,1,2019-10-16 13:25:10,R_2WGR7UoMkYKY8my,,,,,52.4853973388671875,6.114501953125,anonymous,EN,1,40,6,,5,5,1,6,2,6,4,5,3,2,6,5,3,7,2,7,2,4,8,2,7,1,11,5,2,6,2,8,6,8,8,6,4,6,4,4,2,2,2,3,4,6,1,1,2,1523785192
2019-10-16 13:22:26,2019-10-16 13:29:02,0,80.65.125.34,100,395,1,2019-10-16 13:29:03,R_1mvYPXyfygNqZKg,,,,,52.2263946533203125,5.4763946533203125,anonymous,EN,1,9,6,,5,5,5,5,5,5,5,5,5,5,4,7,8,1,1,4,99,4,99,2,9,3,4,5,5,5,5,6,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,1,1343206623
2019-10-16 13:25:40,2019-10-16 13:29:24,0,77.161.5.103,100,224,1,2019-10-16 13:29:24,R_Y34WVeUBNaUgQRX,,,,,52.153594970703125,6.7528076171875,anonymous,EN,2,30,3,,6,1,1,5,7,1,5,5,5,7,99,99,99,99,99,99,99,99,99,2,7,3,3,5,7,2,5,3,3,1,5,1,3,3,1,2,1,1,3,3,7,5,1,1,1,1484762833
2019-10-16 13:27:40,2019-10-16 13:34:40,0,86.83.6.24,100,419,1,2019-10-16 13:34:42,R_eYcuridsT7TG3yp,,,,,51.8022003173828125,4.6631011962890625,anonymous,EN,2,54,6,,3,3,4,7,4,4,2,2,4,4,6,8,1,7,2,7,2,9,8,2,7,1,6,6,4,4,7,8,8,6,5,4,6,6,6,4,5,3,5,4,5,5,3,3,1,1495150084
2019-10-16 13:34:44,2019-10-16 13:37:40,0,84.83.209.115,100,176,1,2019-10-16 13:37:41,R_21htu4p9S1LVyVa,,,,,51.5066986083984375,5.3115997314453125,anonymous,EN,1,38,6,,5,6,3,7,4,4,4,5,4,4,6,8,99,7,99,7,99,99,99,2,9,1,4,4,4,4,3,6,7,1,7,7,5,6,5,4,5,2,5,3,4,4,1,4,2,1412805538
2019-10-16 13:38:05,2019-10-16 13:41:46,0,146.50.230.142,100,220,1,2019-10-16 13:41:46,R_vi38sVySaUtDaBH,,,,,52.350006103515625,4.9167022705078125,anonymous,EN,1,9,6,,4,6,4,5,2,5,2,3,2,3,99,99,8,99,99,2,4,99,99,99,99,99,2,4,5,4,5,4,6,2,7,7,7,5,6,6,5,5,4,6,6,5,2,3,1,1545984519
2019-10-16 13:41:03,2019-10-16 13:46:38,0,81.204.135.27,100,335,1,2019-10-16 13:46:38,R_3fMG4ozIvBqbivC,,,,,52.3553009033203125,4.680694580078125,anonymous,EN,2,17,4,,6,5,3,6,4,4,2,4,4,3,4,4,99,7,99,99,5,99,99,2,7,3,2,4,2,4,4,7,7,4,6,6,4,6,6,5,7,5,3,4,4,4,1,4,1,1544291233
2019-10-16 13:44:02,2019-10-16 13:48:31,0,31.21.64.8,100,268,1,2019-10-16 13:48:31,R_3I6ROwMgEvEUD5O,,,,,52.135894775390625,5.0182037353515625,anonymous,EN,1,30,5,,4,4,2,6,5,3,4,5,4,5,6,5,3,7,2,7,2,2,8,2,7,3,13,5,5,5,5,8,8,1,3,3,5,7,5,5,1,1,4,4,6,6,1,1,1,1484763455
2019-10-16 13:46:26,2019-10-16 13:50:16,0,86.89.247.165,100,229,1,2019-10-16 13:50:16,R_2TYqhDBLqtkyu4m,,,,,52.6688995361328125,4.765106201171875,anonymous,EN,1,31,3,,2,2,1,7,3,5,1,1,1,1,99,99,99,99,99,99,7,7,99,2,7,99,2,5,1,4,3,1,1,1,8,8,1,1,5,1,1,1,3,1,1,7,1,1,2,1484762866
2019-10-16 13:50:02,2019-10-16 13:51:49,0,212.178.154.108,100,106,1,2019-10-16 13:51:49,R_3PHfQPusGq51aI9,,,,,51.193603515625,5.986297607421875,anonymous,EN,1,7,5,,6,6,6,5,6,6,4,5,5,6,7,7,1,99,99,99,99,99,99,99,7,1,3,6,6,6,5,7,5,7,7,6,5,5,6,6,6,6,6,6,7,6,7,7,1,1577810649
2019-10-16 13:50:11,2019-10-16 13:54:08,0,109.36.129.212,100,237,1,2019-10-16 13:54:10,R_3EfHtTjMdjAtY1I,,,,,51.8957061767578125,4.558807373046875,anonymous,EN,1,8,6,,3,5,3,5,4,5,3,3,4,6,6,4,1,7,3,8,3,6,1,2,9,3,3,6,5,5,6,5,6,7,8,7,5,6,4,5,7,6,7,5,5,6,6,4,2,1570396141
2019-10-16 13:51:55,2019-10-16 13:54:20,0,212.178.154.108,100,144,1,2019-10-16 13:54:21,R_24vfeslKyMzKp86,,,,,51.193603515625,5.986297607421875,anonymous,EN,1,7,5,,6,6,5,4,5,5,4,2,4,6,4,3,3,99,99,99,4,6,3,99,7,3,3,6,5,5,6,6,5,6,7,6,6,6,5,5,5,6,5,5,6,6,6,6,1,1577810649
2019-10-16 13:32:21,2019-10-16 14:00:29,0,194.26.120.21,100,1688,1,2019-10-16 14:00:31,R_2t9J5Wvoe99B5wL,,,,,51.94219970703125,4.3679962158203125,anonymous,EN,1,25,5,,5,5,4,4,5,4,5,5,4,4,6,5,99,99,99,99,99,99,99,99,99,99,2,5,4,4,5,2,3,5,5,5,5,4,4,4,5,5,2,3,4,4,4,5,2,1484763887
2019-10-16 13:55:44,2019-10-16 14:00:44,0,81.205.19.146,100,300,1,2019-10-16 14:00:45,R_1Qc49m3brl25AY3,,,,,52.403594970703125,5.2920074462890625,anonymous,EN,1,34,7,,7,7,7,7,7,7,7,7,7,7,6,5,1,7,2,7,2,9,8,2,7,1,6,7,7,7,7,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,1,1484727039
2019-10-16 13:55:50,2019-10-16 14:01:11,0,213.127.91.203,100,321,1,2019-10-16 14:01:11,R_2ZJItULy1ofrQA4,,,,,52.3784027099609375,4.88360595703125,anonymous,EN,2,18,7,,4,5,2,5,1,6,3,5,4,1,99,99,99,99,99,99,99,99,99,2,7,3,2,4,4,3,5,6,1,8,1,6,6,6,2,4,5,5,5,2,4,6,1,2,1,1484723727
2019-10-16 14:01:20,2019-10-16 14:05:56,0,217.121.137.14,100,275,1,2019-10-16 14:05:56,R_10N3Hn2XyZLMUUN,,,,,52.3957977294921875,6.2859039306640625,anonymous,EN,2,39,5,,4,4,4,4,4,4,2,4,4,4,99,99,99,7,99,99,99,99,99,2,7,3,3,4,5,3,4,5,3,6,3,1,4,4,3,3,4,1,4,4,5,4,1,2,1,1484743674
2019-10-16 14:04:27,2019-10-16 14:08:58,0,145.128.175.19,100,270,1,2019-10-16 14:09:00,R_1FK80LLYpoYFy1b,,,,,52.0883941650390625,5.11749267578125,anonymous,EN,1,35,6,,4,5,4,6,3,5,2,2,4,1,6,5,3,7,2,7,2,9,8,2,7,3,6,6,2,5,6,8,8,8,8,8,7,7,7,7,7,7,1,7,4,6,1,1,1,1484701056
2019-10-16 14:07:58,2019-10-16 14:12:26,0,86.95.195.192,100,267,1,2019-10-16 14:12:26,R_3lVm0csksctt9lO,,,,,51.94970703125,6.019195556640625,anonymous,EN,2,36,6,,5,3,5,6,5,3,4,3,2,3,6,5,3,7,2,7,2,9,8,2,7,3,10,5,4,4,5,7,3,6,7,2,5,6,5,6,6,3,4,4,5,5,1,1,2,1484775271
2019-10-16 14:10:26,2019-10-16 14:14:15,0,5.39.187.189,100,228,1,2019-10-16 14:14:15,R_rqgQJMq8oH9kTAZ,,,,,51.855499267578125,4.5850982666015625,anonymous,EN,2,35,5,,5,4,2,6,4,4,1,5,4,3,1,4,8,99,99,99,2,4,4,2,7,3,4,4,5,4,4,5,5,3,5,6,4,4,4,5,4,3,4,4,4,5,1,3,1,1564634000
2019-10-16 14:10:28,2019-10-16 14:16:35,0,213.34.128.38,100,366,1,2019-10-16 14:16:35,R_XRDB2bltyWY0tPj,,,,,51.930999755859375,4.59100341796875,anonymous,EN,2,26,5,,4,4,2,6,3,5,4,4,3,5,4,5,6,99,99,99,2,99,99,2,9,6,2,4,3,3,4,2,3,3,6,4,4,4,4,4,2,3,2,4,4,4,4,4,1,1431908015
2019-10-16 14:16:39,2019-10-16 14:19:07,0,31.20.12.242,100,148,1,2019-10-16 14:19:08,R_3JBNeXS3dbHcbTP,,,,,52.298492431640625,5.6208953857421875,anonymous,EN,1,27,5,,4,5,4,5,5,6,6,5,5,6,4,8,3,7,2,7,5,3,1,2,7,3,4,6,5,5,6,7,6,7,7,6,6,5,6,6,6,5,5,6,6,5,5,6,2,1484721098
2019-10-16 14:19:37,2019-10-16 14:26:22,0,62.194.1.215,100,404,1,2019-10-16 14:26:23,R_28SPMmAPNWRZ3GM,,,,,52.4542999267578125,4.801300048828125,anonymous,EN,1,19,7,,5,5,3,5,3,5,3,5,6,3,6,5,3,7,2,7,2,9,8,2,7,3,13,5,5,5,5,8,5,1,5,8,7,7,5,5,3,3,3,4,7,7,1,1,2,1484747455
2019-10-16 14:22:36,2019-10-16 14:28:18,0,145.28.172.149,100,342,1,2019-10-16 14:28:19,R_1l6qCmI5d9lqUOi,,,,,52.346405029296875,4.9304046630859375,anonymous,EN,1,49,7,,5,3,2,6,4,3,4,5,4,3,6,5,1,7,2,7,2,9,8,2,7,1,13,6,2,5,6,6,6,4,7,8,6,6,5,4,3,2,6,5,6,6,1,2,1,1484764834
2019-10-16 14:25:42,2019-10-16 14:29:56,0,213.125.11.171,100,253,1,2019-10-16 14:29:56,R_3kEZh9QwGHzpWr3,,,,,50.83770751953125,5.6663055419921875,anonymous,EN,2,25,7,,4,4,1,7,4,4,4,4,4,4,99,99,99,7,2,7,99,99,99,2,7,3,3,4,1,4,3,5,4,2,5,7,5,5,3,3,4,4,4,3,4,5,1,1,1,1484770500
2019-10-16 14:29:04,2019-10-16 14:33:36,0,85.149.97.190,100,271,1,2019-10-16 14:33:36,R_273v8E3ceq8Rmsw,,,,,51.9337005615234375,4.4945068359375,anonymous,EN,1,22,7,,3,3,3,6,5,4,3,3,3,3,99,99,99,99,99,99,99,99,99,2,99,99,1,2,5,1,1,7,5,5,8,8,4,5,5,2,3,4,3,3,5,5,2,4,2,1484775658
2019-10-16 14:29:03,2019-10-16 14:34:11,0,145.132.77.81,100,307,1,2019-10-16 14:34:11,R_1q3Q5wC26lGGXBR,,,,,51.4214935302734375,5.4582061767578125,anonymous,EN,2,36,5,,4,5,5,7,5,4,2,2,2,2,6,2,1,7,99,7,7,9,4,2,7,3,6,4,4,3,3,3,3,3,6,6,4,5,4,5,3,5,4,4,5,5,4,4,2,1644102214
2019-10-16 14:35:11,2019-10-16 14:37:56,0,195.35.160.106,100,164,1,2019-10-16 14:37:56,R_cDfdwEEZp12sA81,,,,,52.11279296875,5.1239013671875,anonymous,EN,1,17,7,,5,5,3,5,3,5,3,5,5,3,6,5,1,7,2,7,2,9,8,2,7,1,12,5,5,5,5,1,1,2,6,6,6,6,6,1,4,2,3,2,6,5,3,3,1,1484775740
2019-10-16 14:38:02,2019-10-16 14:40:11,0,84.28.13.5,100,128,1,2019-10-16 14:40:11,R_SH6O0RwUdhFmWLn,,,,,51.15570068359375,6.069000244140625,anonymous,EN,1,37,6,,4,5,3,6,2,5,5,3,4,4,6,8,3,99,99,99,4,6,1,2,7,3,3,5,4,4,5,5,5,6,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,1436858396
2019-10-16 14:40:44,2019-10-16 14:46:08,0,89.205.135.121,100,323,1,2019-10-16 14:46:09,R_3sz7wVHzT28JrEj,,,,,52.04400634765625,4.3961029052734375,anonymous,EN,1,30,4,,5,3,1,7,6,4,1,4,1,5,6,5,1,7,2,7,2,9,8,2,7,1,12,6,4,6,5,2,2,8,8,8,7,7,7,4,2,3,7,7,4,5,1,4,1,1484719395
